subject_id;subject_label;predicate_id;predicate_modifier;object_id;object_label
hri-fhir-r5:individual-recorded-sex-or-gender/source;"""Person recorded sex or gender.source""@en";hriv:hasExactMeaning;Not;hrio:SocialAgent;"""Social Agent""@en"
hri-fhir-r5:individual-recorded-sex-or-gender/source-document;"""Person recorded sex or gender.sourceDocument""@en";hriv:hasExactMeaning;Not;hrio:Document;"""Document""@en"
hri-fhir-r5:individual-recorded-sex-or-gender/source-document;"""Person recorded sex or gender.sourceDocument""@en";hriv:hasExactMeaning;Not;hrio:LegalGenderRecognitionDocument;"""Legal Gender Recognition Document""@en"
hri-fhir-r5:individual-recorded-sex-or-gender/source-document;"""Person recorded sex or gender.sourceDocument""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeGenderRecognitionDocument;"""Administrative Gender Recognition Document""@en"
hri-fhir-r5:patient/contact/gender;"""Patient.contact.gender""@en";hriv:hasExactMeaning;Not;hrio:ExternallyAttributedGender;"""Externally-attributed Gender""@en"
hri-fhir-r5:patient/contact/gender;"""Patient.contact.gender""@en";hriv:hasExactMeaning;Not;hrio:LegalGender;"""Legal Gender""@en"
hri-fhir-r5:patient/contact/gender;"""Patient.contact.gender""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeGender;"""Administrative Gender""@en"
hri-fhir-r5:recorded-sex-or-gender-type/sex;"""Sex (Recorded Sex Or Gender Type)""@en";hriv:hasExactMeaning;Not;hrio:Sex;"""Sex""@en"
hri-fhir-r5:recorded-sex-or-gender-type/sex-assigned-at-birth;"""Sex assigned at birth""@en";hriv:hasExactMeaning;;hrio:SexAtBirth;"""Sex at Birth""@en"
hri-ga4gh-phenopacket-schema:other_karyotype;"""OTHER_KARYOTYPE""@en";hriv:hasExactMeaning;Not;hrio:KaryotypicalIndeterminatePerson;"""Karyotypical Indeterminate Person""@en"
hri-ga4gh-phenopacket-schema:other_karyotype;"""OTHER_KARYOTYPE""@en";hriv:hasExactMeaning;Not;hrio:KaryotypicSex;"""Karyotypic Sex""@en"
hri-ga4gh-phenopacket-schema:other_karyotype;"""OTHER_KARYOTYPE""@en";hriv:hasExactMeaning;Not;hrio:PersonWithVariantSexChromosome;"""Person with Variant Sex Chromosome""@en"
hri-ga4gh-phenopacket-schema:unknown_karyotype;"""UNKNOWN_KARYOTYPE""@en";hriv:hasExactMeaning;Not;hrio:KaryotypicalIndeterminatePerson;"""Karyotypical Indeterminate Person""@en"
hri-ga4gh-phenopacket-schema:unknown_karyotype;"""UNKNOWN_KARYOTYPE""@en";hriv:hasExactMeaning;Not;hrio:KaryotypicSex;"""Karyotypic Sex""@en"
hri-ga4gh-phenopacket-schema:unknown_karyotype;"""UNKNOWN_KARYOTYPE""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en"
hri-ga4gh-phenopacket-schema:xo;"""XO""@en";hriv:hasExactMeaning;Not;hrio:KaryotypicSex;"""Karyotypic Sex""@en"
hri-ga4gh-phenopacket-schema:xo;"""XO""@en";hriv:hasExactMeaning;Not;hrio:PersonWithVariantSexChromosome;"""Person with Variant Sex Chromosome""@en"
hri-ga4gh-phenopacket-schema:xxxx;"""XXXX""@en";hriv:hasExactMeaning;Not;hrio:KaryotypicFemaleSex;"""Karyotypic Female Sex""@en"
hri-ga4gh-phenopacket-schema:xxxx;"""XXXX""@en";hriv:hasExactMeaning;Not;hrio:PersonWithVariantSexChromosome;"""Person with Variant Sex Chromosome""@en"
hri-ga4gh-phenopacket-schema:xxy;"""XXY""@en";hriv:hasExactMeaning;Not;hrio:KaryotypicSex;"""Karyotypic Sex""@en"
hri-ga4gh-phenopacket-schema:xxy;"""XXY""@en";hriv:hasExactMeaning;Not;hrio:KaryotypicMaleSex;"""Karyotypic Male Sex""@en"
hri-ga4gh-phenopacket-schema:xxy;"""XXY""@en";hriv:hasExactMeaning;Not;hrio:VariantKaryotypicalMalePerson;"""Variant Karyotypical Male Person""@en"
hri-ga4gh-phenopacket-schema:xxy;"""XXY""@en";hriv:hasExactMeaning;Not;hrio:PersonWithVariantSexChromosome;"""Person with Variant Sex Chromosome""@en"
hri-ga4gh-phenopacket-schema:xy;"""XY""@en";hriv:hasExactMeaning;Not;hrio:RegularKaryotypicalMalePerson;"""Regular Karyotypical Male Person""@en"
hri-icd11:gender-incongruence;"""Gender incongruence""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedTransgenderPerson;"""Self-identified Transgender Person""@en"
hri-icd11:gender-incongruence;"""Gender incongruence""@en";hriv:hasExactMeaning;Not;hrio:Transgender;"""Transgender""@en"
hri-icd11:gender-incongruence;"""Gender incongruence""@en";hriv:hasExactMeaning;Not;hrio:TransgenderPerson;"""Transgender Person""@en"
hri-icd11:gender-incongruence-of-adolescence-or-adulthood;"""Gender incongruence of adolescence or adulthood""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedTransgenderPerson;"""Self-identified Transgender Person""@en"
hri-icd11:gender-incongruence-of-adolescence-or-adulthood;"""Gender incongruence of adolescence or adulthood""@en";hriv:hasExactMeaning;Not;hrio:TransgenderPerson;"""Transgender Person""@en"
hri-icd11:gender-incongruence-of-adolescence-or-adulthood;"""Gender incongruence of adolescence or adulthood""@en";hriv:hasExactMeaning;Not;hrio:ClinicalDiagnosis;"""Clinical Diagnosis""@en"
hri-icd11:gender-incongruence-of-adolescence-or-adulthood;"""Gender incongruence of adolescence or adulthood""@en";hriv:hasExactMeaning;Not;hrio:Transgender;"""Transgender""@en"
hri-icd11:gender-incongruence-of-childhood;"""Gender incongruence of childhood""@en";hriv:hasExactMeaning;Not;hrio:Diagnosis;"""Diagnosis""@en"
hri-icd11:gender-incongruence-of-childhood;"""Gender incongruence of childhood""@en";hriv:hasExactMeaning;Not;hrio:Transgender;"""Transgender""@en"
hri-icd11:gender-incongruence-of-childhood;"""Gender incongruence of childhood""@en";hriv:hasExactMeaning;Not;hrio:PsychologicalHealthCondition;"""Psychological Health Condition""@en"
hri-icd11:gender-incongruence-of-childhood;"""Gender incongruence of childhood""@en";hriv:hasExactMeaning;Not;hrio:TransgenderPerson;"""Transgender Person""@en"
hri-omop:female;"""Female""@en";hriv:hasExactMeaning;Not;hrio:FemaleGender;"""Female Gender""@en"
hri-omop:female;"""Female""@en";hriv:hasExactMeaning;Not;hrio:FemaleSex;"""Female Sex""@en"
hri-omop:gender-domain;"""Gender domain""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeGender;"""Administrative Gender""@en"
hri-omop:gender-domain;"""Gender domain""@en";hriv:hasExactMeaning;Not;hrio:Gender;"""Gender""@en"
hri-omop:gender-domain;"""Gender domain""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirth;"""Sex at Birth""@en"
hri-omop:gender-identity-information-stored-in-observation;"""Gender identity information (stored in OBSERVATION)""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en"
hri-omop:gender-identity-information-stored-in-observation;"""Gender identity information (stored in OBSERVATION)""@en";hriv:hasExactMeaning;Not;hrio:Gender;"""Gender""@en"
hri-omop:male;"""Male""@en";hriv:hasExactMeaning;;hrio:MaleGender;"""Male Gender""@en"
hri-omop:person-gender-source-concept-id;"""PERSON.gender_source_concept_id""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirth;"""Sex at Birth""@en"
hri-openehr:additional-details;"""Additional details""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeGender;"""Administrative Gender""@en"
hri-openehr:additional-details;"""Additional details""@en";hriv:hasExactMeaning;Not;hrio:LegalGender;"""Legal Gender""@en"
hri-openehr:additional-details;"""Additional details""@en";hriv:hasExactMeaning;Not;hrio:GenderContext;"""Gender Context""@en"
hri-openehr:additional-details;"""Additional details""@en";hriv:hasExactMeaning;Not;hrio:GenderExpression;"""Gender Expression""@en"
hri-openehr:additional-details;"""Additional details""@en";hriv:hasExactMeaning;Not;hrio:Gender;"""Gender""@en"
hri-openehr:administrative-gender;"""Administrative gender""@en";hriv:hasExactMeaning;;hrio:AdministrativeGender;"""Administrative Gender""@en"
hri-openehr:gender;"""Gender""@en";hriv:hasExactMeaning;Not;hrio:Gender;"""Gender""@en"
hri-openehr:gender;"""Gender""@en";hriv:hasExactMeaning;Not;hrio:SexGender;"""Sex-Gender""@en"
hri-openehr:gender-expression;"""Gender expression""@en";hriv:hasExactMeaning;Not;hrio:GenderExpression;"""Gender Expression""@en"
hri-openehr:gender-identity;"""Gender identity""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en"
hri-openehr:legal-gender;"""Legal gender""@en";hriv:hasExactMeaning;;hrio:LegalGender;"""Legal Gender""@en"
hri-openehr:preferred-pronoun;"""Preferred pronoun""@en";hriv:hasExactMeaning;Not;hrio:PreferredPronoun;"""Preferred Pronoun""@en"
hri-openehr:sex-assigned-at-birth;"""Sex assigned at birth""@en";hriv:hasExactMeaning;;hrio:SexAtBirth;"""Sex at Birth""@en"
loinc:107454-1;"""Administrative gender""@en";hriv:hasExactMeaning;;hrio:AdministrativeGender;"""Administrative Gender""@en"
loinc:54123-5;"""Sex of Family member""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirth;"""Sex at Birth""@en"
loinc:54123-5;"""Sex of Family member""@en";hriv:hasExactMeaning;Not;hrio:Gender;"""Gender""@en"
loinc:72143-1;"""Sex [HL7.v3]""@en";hriv:hasExactMeaning;Not;hrio:Sex;"""Sex""@en"
loinc:72143-1;"""Sex [HL7.v3]""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeGender;"""Administrative Gender""@en"
loinc:72143-1;"""Sex [HL7.v3]""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirth;"""Sex at Birth""@en"
loinc:76689-9;"""Sex assigned at birth""@en";hriv:hasExactMeaning;;hrio:SexAtBirth;"""Sex at Birth""@en"
loinc:76691-5;"""Gender identity""@en";hriv:hasExactMeaning;;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en"
loinc:91692-4;"""Sex of Personnel""@en";hriv:hasExactMeaning;Not;hrio:SexGender;"""Sex-Gender""@en"
loinc:91692-4;"""Sex of Personnel""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en"
loinc:99501-9;"""Sex parameter for clinical use""@en";hriv:hasExactMeaning;;hrio:Sex;"""Sex""@en"
loinc:LA20384-6;"""Asked but unknown (sex/gender response)""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en"
loinc:LA22878-5;"""Identifies as male""@en";hriv:hasExactMeaning;;hrio:SelfIdentifiedMaleGender;"""Self-identified Male Gender""@en"
loinc:LA22879-3;"""Identifies as female""@en";hriv:hasExactMeaning;;hrio:SelfIdentifiedFemaleGender;"""Self-identified Female Gender""@en"
loinc:LA29515-6;"""co/co/cos/cos/coself""@en";hriv:hasExactMeaning;Not;hrio:PreferredPronoun;"""Preferred Pronoun""@en"
loinc:LA29517-2;"""ey/em/eir/eirs/emself""@en";hriv:hasExactMeaning;Not;hrio:PreferredPronoun;"""Preferred Pronoun""@en"
loinc:LA29518-0;"""he/him/his/his/himself""@en";hriv:hasExactMeaning;Not;hrio:PreferredPronoun;"""Preferred Pronoun""@en"
loinc:LA29520-6;"""they/them/their/theirs/themselves""@en";hriv:hasExactMeaning;Not;hrio:PreferredPronoun;"""Preferred Pronoun""@en"
loinc:LA29524-8;"""ve/vis/ver/ver/verself""@en";hriv:hasExactMeaning;Not;hrio:PreferredPronoun;"""Preferred Pronoun""@en"
loinc:LA35089-4;"""Gender X""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeNonBinaryGender;"""Administrative Non-binary Gender""@en"
loinc:LA3-6;"""Female""@en";hriv:hasExactMeaning;Not;hrio:Female;"""Female""@en"
loinc:LA3-6;"""Female""@en";hriv:hasExactMeaning;Not;hrio:FemaleSex;"""Female Sex""@en"
loinc:LA3-6;"""Female""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedFemaleGender;"""Self-identified Female Gender""@en"
loinc:LA3-6;"""Female""@en";hriv:hasExactMeaning;Not;hrio:FemaleGender;"""Female Gender""@en"
loinc:LA3-6;"""Female""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthFemaleSex;"""Sex-at-birth Female Sex""@en"
loinc:LA3-6;"""Female""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeFemaleGender;"""Administrative Female Gender""@en"
loinc:LA4489-6;"""Unknown (sex/gender response)""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en"
loinc:LA4489-6;"""Unknown (sex/gender response)""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthUnassignedPerson;"""Sex-at-birth-unassigned Person""@en"
loinc:LA4489-6;"""Unknown (sex/gender response)""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthIndeterminateSex;"""Sex-at-birth Indeterminate Sex""@en"
loinc:LA4489-6;"""Unknown (sex/gender response)""@en";hriv:hasExactMeaning;Not;hrio:LegallyUnassignedGenderPerson;"""Legally Unassigned Gender Person""@en"
loinc:LA4512-5;"""Transsexual""@en";hriv:hasExactMeaning;Not;hrio:TransgenderPerson;"""Transgender Person""@en"
loinc:LA4512-5;"""Transsexual""@en";hriv:hasExactMeaning;Not;hrio:ExternallyAttributedTransgenderPerson;"""Externally-attributed Transgender Person""@en"
loinc:LA4512-5;"""Transsexual""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedTransgenderPerson;"""Self-identified Transgender Person""@en"
loinc:LA46-8;"""Other (sex/gender response)""@en";hriv:hasExactMeaning;Not;hrio:NonBinaryGender;"""Non-binary Gender""@en"
loinc:LA46-8;"""Other (sex/gender response)""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en"
loinc:LA46-8;"""Other (sex/gender response)""@en";hriv:hasExactMeaning;Not;hrio:NonBinarySexGender;"""Non-binary Sex-Gender""@en"
loinc:LA4732-9;"""Other (hermaphrodite)""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthIndeterminateSex;"""Sex-at-birth Indeterminate Sex""@en"
loinc:LA4732-9;"""Other (hermaphrodite)""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en"
loinc:LA4732-9;"""Other (hermaphrodite)""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicAmbiguousSex;"""Phenotypic Ambiguous Sex""@en"
mesh:D005783;"""Gender Identity""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en"
ncit:C158277;"""Gender identity""@en";hriv:hasExactMeaning;;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en"
ncit:C16576;"""Female""@en";hriv:hasExactMeaning;Not;hrio:Woman;"""Woman""@en"
ncit:C16576;"""Female""@en";hriv:hasExactMeaning;Not;hrio:FemaleSex;"""Female Sex""@en"
ncit:C16576;"""Female""@en";hriv:hasExactMeaning;Not;hrio:FemaleGender;"""Female Gender""@en"
ncit:C16576;"""Female""@en";hriv:hasExactMeaning;Not;hrio:Female;"""Female""@en"
ncit:C17998;"""Unknown""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en"
ncit:C17998;"""Unknown""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicAmbiguousSex;"""Phenotypic Ambiguous Sex""@en"
ncit:C17998;"""Unknown""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en"
ncit:C17998;"""Unknown""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeGender;"""Administrative Gender""@en"
ncit:C17998;"""Unknown""@en";hriv:hasExactMeaning;Not;hrio:LegallyUnassignedGenderPerson;"""Legally Unassigned Gender Person""@en"
ncit:C20197;"""Male""@en";hriv:hasExactMeaning;Not;hrio:Male;"""Male""@en"
ncit:C20197;"""Male""@en";hriv:hasExactMeaning;Not;hrio:MaleSex;"""Male Sex""@en"
ncit:C20197;"""Male""@en";hriv:hasExactMeaning;Not;hrio:MaleGender;"""Male Gender""@en"
ncit:C20197;"""Male""@en";hriv:hasExactMeaning;Not;hrio:Man;"""Man""@en"
ncit:C205468;"""Non-Binary""@en";hriv:hasExactMeaning;;hrio:SelfIdentifiedNonBinaryGender;"""Self-identified Non-binary Gender""@en"
ncit:C205472;"""Sex at birth (including Sex Assigned at Birth / Sex Reported at Birth)""@en";hriv:hasExactMeaning;;hrio:SexAtBirth;"""Sex at Birth""@en"
ncit:C45908;"""Intersex""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthIndeterminateSex;"""Sex-at-birth Indeterminate Sex""@en"
ncit:C45908;"""Intersex""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en"
ncit:C45908;"""Intersex""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicAmbiguousSex;"""Phenotypic Ambiguous Sex""@en"
ncit:C46121;"""Transgender Man/Boy""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedTransgenderPerson;"""Self-identified Transgender Person""@en"
ncit:C46121;"""Transgender Man/Boy""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedMaleGenderPerson;"""Self-identified Male-gender Person""@en"
ncit:C66731;"""Sex codelist""@en";hriv:hasExactMeaning;Not;hrio:SexOutcome;"""Sex Outcome""@en"
ncit:C66731;"""Sex codelist""@en";hriv:hasExactMeaning;Not;hrio:SexGenderOutcome;"""Sex-Gender Outcome""@en"
obo:GSSO_000088;"""gender expression""@en";hriv:hasExactMeaning;Not;hrio:GenderExpression;"""Gender Expression""@en"
obo:GSSO_000089;"""female gender identity""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedFemaleGender;"""Self-identified Female Gender""@en"
obo:GSSO_000093;"""androgynous gender expression""@en";hriv:hasExactMeaning;Not;hrio:NonBinaryGenderExpression;"""Non-binary Gender Expression""@en"
obo:GSSO_000094;"""feminine gender expression""@en";hriv:hasExactMeaning;Not;hrio:FemininePresentingPerson;"""Feminine-presenting Person""@en"
obo:GSSO_000094;"""feminine gender expression""@en";hriv:hasExactMeaning;Not;hrio:FeminineGenderExpression;"""Feminine Gender Expression""@en"
obo:GSSO_000123;"""assigned female at birth""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthFemaleSex;"""Sex-at-birth Female Sex""@en"
obo:GSSO_000130;"""transgender person""@en";hriv:hasExactMeaning;Not;hrio:TransgenderPerson;"""Transgender Person""@en"
obo:GSSO_000130;"""transgender person""@en";hriv:hasExactMeaning;Not;hrio:ExternallyAttributedTransgenderPerson;"""Externally-attributed Transgender Person""@en"
obo:GSSO_000371;"""cisgender man""@en";hriv:hasExactMeaning;Not;hrio:ExternallyAttributedCisgenderMalePerson;"""Externally-attributed Cisgender Male Person""@en"
obo:GSSO_000371;"""cisgender man""@en";hriv:hasExactMeaning;Not;hrio:MaleCisgenderPerson;"""Male Cisgender Person""@en"
obo:GSSO_000371;"""cisgender man""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedCisgenderMalePerson;"""Self-identified Cisgender Male Person""@en"
obo:GSSO_000384;"""transgender woman""@en";hriv:hasExactMeaning;Not;hrio:TransgenderPerson;"""Transgender Person""@en"
obo:GSSO_000384;"""transgender woman""@en";hriv:hasExactMeaning;Not;hrio:Woman;"""Woman""@en"
obo:GSSO_000384;"""transgender woman""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthMaleSexPerson;"""Sex-at-birth Male-sex Person""@en"
obo:GSSO_000384;"""transgender woman""@en";hriv:hasExactMeaning;Not;hrio:FemaleGenderPerson;"""Female-gender Person""@en"
obo:GSSO_000385;"""cisgender woman""@en";hriv:hasExactMeaning;Not;hrio:FemaleCisgenderPerson;"""Female Cisgender Person""@en"
obo:GSSO_000385;"""cisgender woman""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedCisgenderFemalePerson;"""Self-identified Cisgender Female Person""@en"
obo:GSSO_000389;"""cisgender person""@en";hriv:hasExactMeaning;Not;hrio:CisgenderPerson;"""Cisgender Person""@en"
obo:GSSO_001501;"""indeterminate sex""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicAmbiguousSex;"""Phenotypic Ambiguous Sex""@en"
obo:GSSO_001501;"""indeterminate sex""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthIndeterminateSex;"""Sex-at-birth Indeterminate Sex""@en"
obo:GSSO_001501;"""indeterminate sex""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateSexPerson;"""Indeterminate-sex Person""@en"
obo:GSSO_002328;"""nonbinary gender identity""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedNonBinaryGender;"""Self-identified Non-binary Gender""@en"
obo:GSSO_004240;"""cisgender""@en";hriv:hasExactMeaning;Not;hrio:CisgenderPerson;"""Cisgender Person""@en"
obo:GSSO_004240;"""cisgender""@en";hriv:hasExactMeaning;;hrio:Cisgender;"""Cisgender""@en"
obo:GSSO_004240;"""cisgender""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedCisgenderPerson;"""Self-identified Cisgender Person""@en"
obo:GSSO_004240;"""cisgender""@en";hriv:hasExactMeaning;Not;hrio:ExternallyAttributedCisgenderPerson;"""Externally-attributed Cisgender Person""@en"
obo:GSSO_004240;"""cisgender""@en";hriv:hasExactMeaning;Not;hrio:Cisgender;"""Cisgender""@en"
obo:GSSO_009316;"""administrative gender""@en";hriv:hasExactMeaning;;hrio:AdministrativeGender;"""Administrative Gender""@en"
obo:GSSO_009418;"""assigned gender at birth""@en";hriv:hasExactMeaning;;hrio:SexAtBirth;"""Sex at Birth""@en"
obo:GSSO_009418;"""assigned gender at birth""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirth;"""Sex at Birth""@en"
obo:GSSO_011405;"""person assigned male at birth""@en";hriv:hasExactMeaning;;hrio:SexAtBirthMaleSexPerson;"""Sex-at-birth Male-sex Person""@en"
obo:GSSO_011405;"""person assigned male at birth""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeMaleGenderPerson;"""Administrative Male-gender Person""@en"
obo:GSSO_011405;"""person assigned male at birth""@en";hriv:hasExactMeaning;Not;hrio:ExternallyAttributedMaleGenderPerson;"""Externally-attributed Male-gender Person""@en"
obo:GSSO_011405;"""person assigned male at birth""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthMaleSexPerson;"""Sex-at-birth Male-sex Person""@en"
obo:NCIT_C17357;"""Gender""@en";hriv:hasExactMeaning;Not;hrio:Gender;"""Gender""@en"
obo:NCIT_C17357;"""Gender""@en";hriv:hasExactMeaning;;hrio:Gender;"""Gender""@en"
